,name,rating,reviews,salary,interviews,jobs,discription,years_old
684,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
685,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
686,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
687,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
688,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
689,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
690,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
691,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
692,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
693,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
694,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
695,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
696,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
697,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
698,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
699,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
700,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
701,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
702,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
703,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
704,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
705,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
706,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
707,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
708,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
709,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
710,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
711,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
712,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
713,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
714,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
715,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
716,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
717,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
718,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
719,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
720,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
721,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
722,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
723,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
724,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
725,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
726,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
727,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
728,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
729,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
730,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
731,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
732,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
733,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
734,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
735,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
736,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
737,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
738,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
739,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
740,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
741,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
742,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
743,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
744,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
745,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
746,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
747,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
748,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
749,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
750,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
751,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
752,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
753,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
754,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
755,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
756,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
757,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
758,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
759,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
760,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
761,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
762,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
763,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
764,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
765,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
766,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
767,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
768,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
769,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
770,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
771,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
772,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
773,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
774,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
775,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
776,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
777,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
778,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
779,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
780,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
781,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
782,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
783,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
784,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
785,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
786,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
787,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
788,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
789,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
790,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
791,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
792,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
793,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
